id,lemma,pos
10841,हेक्टरः,noun
1885,मानम्,noun
12420,महानन्दः,noun
392,सुषिर-वाद्यम्,noun
25947,बेगुसरायमण्डलम्,noun
16994,कलगी,noun
9984,लावणी,noun
31525,शत्रुसहः,noun
38365,प्रतीक्षालयः,noun
23080,प्रमादः,noun
4104,प्रमादः,noun
7860,गोवधः,noun
4034,हत्या,noun
26338,शैब्यः,noun
15298,अदितिः,noun
36293,उद्दीपनम्,noun
36010,अल्जाइमरम्,noun
29656,गोषूक्तिः,noun
34817,जालम्,noun
30375,स्पितिदरी,noun
25758,कुटजः,noun
7128,शुभकामना,noun
4035,सञ्चारः,noun
25124,मुर्शिदाबादनगरम्,noun
2994,इच्छा,noun
137,संकल्पनम्,noun
5772,सङ्कल्पः,noun
25684,सपिण्डः,noun
189,लोकः,noun
17037,ललितासप्तमी,noun
815,सप्तमी,noun
7798,रश्मिः,noun
2037,प्रकाशः,noun
34083,सुपर्णः,noun
4434,गरुडः,noun
4488,दुराशा,noun
3605,आशा,noun
3598,यमकम्,noun
5162,शब्दालङ्कारः,noun
26762,समभुजचतुष्कोणः,noun
5523,तमालः,noun
3717,सदापर्णवृक्षः,noun
8674,आली,noun
28622,आरभटी,noun
7416,भाषाशैली,noun
36005,मधुमेह-विशेषज्ञः,noun
3639,वैद्यः,noun
14699,अरुन्धती,noun
890,तारा,noun
17161,घोषका,noun
7897,लता,noun
13236,सूत्रम्,noun
11814,रचना,noun
38988,मिथुनराशिजम्,noun
12365,सास्ना,noun
24056,कबीरानुयायी,noun
1147,अनुयायिन्,noun
11687,धन,noun
748,प्राणी,noun
10501,कजरीगीतम्,noun
28413,राजसभा,noun
11232,पटमण्डपः,noun
13235,सङ्केतः,noun
3649,प्रख्यापनम्,noun
3812,उपदेशः,noun
3836,शिक्षा,noun
39176,ककुभा,noun
32231,अष्टिः,noun
11437,नितम्बः,noun
25117,बाकुरानगरम्,noun
23282,अप्रतिबन्धः,noun
36942,वस्त्रकटः,noun
15384,अध्यूढा,noun
26099,गुनामण्डलम्,noun
16122,प्रसारणम्,noun
23666,प्रयोजनवती-लक्षणा,noun
32603,आकरः,noun
22852,असिमार्गाः,noun
11987,छत्रम्,noun
5495,छत्रम्,noun
33507,मैरोनीनदी,noun
19696,निर्गुण्डी,noun
6529,क्रीडाङ्गणम्,noun
7584,समभूमिः,noun
13538,क्विन्टलपरिमाणम्,noun
23749,अक्षसूत्रम्,noun
7630,जपमाला,noun
12062,दीक्षा,noun
7356,उन्नतिः,noun
25911,चाङ्गलाङ्गनगरम्,noun
24580,एटामण्डलम्,noun
1439,व्यञ्जनम्,noun
25883,चमोलीमण्डलम्,noun
5982,तालः,noun
22912,भूकाकः,noun
23541,ध्वनिविस्तारकः,noun
24484,सातारानगरम्,noun
7778,व्यापारिकः,noun
3142,मधुकर्कटी,noun
29630,सुतम्भरा,noun
22387,अभिषेकः,noun
29224,भद्रा,noun
7441,भूमिका,noun
2671,अभिनयः,noun
22088,भारिकः,noun
7503,कर्मकरः,noun
33754,इन्द्रध्वजः,noun
3793,समुत्सवः,noun
16392,महतीद्वादशी,noun
8419,द्वादशी,noun
369,अग्रः,noun
1957,खण्डः,noun
10139,सम्पादकः,noun
